surname,weight
경주 노(盧),8000
의녕 남(南),7955
의흥 박(朴),7948
밀성 손(孫),7944
상산 박(朴),7916
여흥 이(李),7914
축산 전(全),7780
양근 김(金),7703
하음 봉(奉),7688
상주 황(黃),7685
면성 박(朴),7666
기성 반(潘),7631
함안 윤(尹),7608
공주 김(金),7589
곤양 배(裵),7546
연산 서(徐),7510
창영 성(成),7500
만경 노(盧),7435
안동 임(林),7431
안정 나(羅),7312
중화 양(楊),7287
구산 박(朴),7255
영암 박(朴),7255
남원 진(晋),7128
장흥 임(林),7116
선상 김(金),7071
금성 라(羅),6872
태인 허(許),6870
부평 이(李),6789
횡성 조(趙),6685
경산 이(李),6682
해주 김(金),6652
군위 방(方),6454
태안 박(朴),6344
함평 정(鄭),6338
금성 임(林),6305
청주 고(高),6300
곡산 한(韓),6266
서산 류(柳),6172
수안 계(桂),6056
옥구 장(張),6051
광산 정(鄭),5914
무안 유(兪),5896
화산 천(千),5843
삼척 박(朴),5776
봉산 지(智),5751
거창 장(章),5688
사천 김(金),5677
통천 김(金),5669
수안 김(金),5540
회진 임(林),5540
파평 염(廉),5515
상주 김(金),5503
진주 형(邢),5453
창령 성(成),5433
충주 임(林),5432
당악 김(金),5400
여주 민(閔),5388
관산 임(任),5386
흥양 유(柳),5359
강능 김(金),5205
거제 반(潘),5183
경주 진(陳),5149
고성 박(朴),5130
시산 허(許),5120
한양 김(金),5082
상산 임(林),5011
파주 윤(尹),4992
진위 이(李),4909
수원 이(李),4872
강진 김(金),4845
창녕 장(張),4814
금령 김(金),4794
해평 김(金),4790
밀양 최(崔),4743
장기 정(鄭),4705
경주 임(林),4675
번남 박(朴),4651
진양 유(柳),4628
영순 태(太),4626
영양 이(李),4622
문의 박(朴),4543
예천 권(權),4531
청산 정(鄭),4527
양주 최(崔),4515
두릉 두(杜),4514
남양 제갈(諸葛),4506
양주 허(許),4475
진주 이(李),4410
직산 조(趙),4360
태안 이(李),4339
면천 박(朴),4328
개성 이(李),4283
전주 임(林),4271
용성 송(宋),4193
여강 이(李),4178
강진 이(李),4175
낙안 김(金),4174
대흥 이(李),4172
나주 진(陳),4167
남양 전(田),4166
강화 봉(奉),4165
양산 이(李),4164
경주 유(兪),4160
재녕 이(李),4158
장흥 오(吳),4132
영해 신(申),4047
대흥 백(白),4041
절강 장(張),3987
화순 오(吳),3952
단성 문(文),3940
조천 정(鄭),3929
나주 이(李),3910
양주 김(金),3889
은율 송(宋),3882
금성 박(朴),3872
덕산 황(黃),3857
서촉 명(明),3820
령산 신(辛),3762
금성 범(范),3663
광주 탁(卓),3650
동주 최(崔),3647
한양 이(李),3626
창녕 이(李),3608
나주 최(崔),3608
삭령 최(崔),3571
완산 최(崔),3563
김제 김(金),3541
남원 방(房),3539
함풍 노(魯),3502
의성 정(丁),3498
금성 김(金),3474
평강 전(全),3467
려산 송(宋),3443
덕수 김(金),3438
팔계 변(卞),3435
부영 김(金),3413
경주 설(薛),3407
재령 강(康),3401
강능 최(崔),3381
의춘 옥(玉),3357
평산 조(趙),3348
태원 선우(鮮于),3329
우봉 김(金),3325
안동 전(全),3323
창원 감(甘),3318
비안 박(朴),3311
나주 전(全),3288
안동 노(盧),3282
청주 좌(左),3280
부안 장(張),3273
평산 이(李),3271
충주 이(李),3269
안산 이(李),3265
선성 김(金),3261
상주 이(李),3259
문경 송(宋),3251
월성 정(鄭),3251
괴산 음(陰),3239
순천 이(李),3235
경주 유(劉),3231
희천 김(金),3221
함평 오(吳),3164
철원 주(周),3160
농서 이(李),3136
제안 황(黃),3098
남평 반(潘),3053
삭영 최(崔),3046
해미 곽(郭),3025
안평 이(李),3021
문경 전(錢),3018
울산 오(吳),3015
수성 나(羅),3001
창녕 황(黃),3001
영주 이(李),2999
창원 김(金),2950
동성 이(李),2938
영양 최(崔),2936
진안 이(李),2919
강성 문(文),2906
경주 설(?),2898
무장 김(金),2895
한산 정(程),2864
선상 이(李),2857
선산 유(柳),2844
경주 안(安),2831
경주 전(全),2810
흥양 오(吳),2805
영천 김(金),2785
영양 진(陳),2769
회산 구(具),2762
효령 사공(司空),2723
용담 염(廉),2715
경주 최(催),2706
보은 이(李),2699
광천 동(董),2692
진천 임(林),2691
파산 이(李),2660
진주 임(任),2623
양산 김(金),2611
덕은 이(李),2606
예산 송(宋),2602
나주 추(秋),2602
정선 이(李),2597
영동 김(金),2587
목천 마(馬),2586
초계 추(秋),2586
태원 김(金),2585
진양 류(柳),2580
괴산 피(皮),2569
영암 김(金),2558
충주 유(劉),2544
