data,_freq
1114016300|서울특별시 중구 다산로46길 17|청계천 두산위브더제니스,1
1114016300|서울특별시 중구 다산로 274|우일타운,1
1114016300|서울특별시 중구 다산로 258|리마크빌 동대문,1
1114016300|서울특별시 중구 퇴계로73길 20|위더스하임,1
1114016300|서울특별시 중구 마장로 58|동대문솔하임,1
1114016300|서울특별시 중구 퇴계로75길 7|동대문 와이즈 캐슬,1
1114016500|서울특별시 중구 퇴계로 447|황학아크로타워,1
1114016500|서울특별시 중구 난계로13길 17|중구리버빌,1
1114016500|서울특별시 중구 난계로11길 30|황학동 코아루,1
1114016500|서울특별시 중구 난계로15길 36-8|(1544-0),1
1114016500|서울특별시 중구 난계로21길 37|창성그린빌,1
1114016500|서울특별시 중구 난계로11길 22|신당블루카운티,1
1114016500|서울특별시 중구 난계로17길 20-21|청계우성아트윈,1
1114016500|서울특별시 중구 난계로17길 48|청계리버팰리스A,1
1114016500|서울특별시 중구 난계로15길 36-6|(1546-0),1
1114016500|서울특별시 중구 난계로21길 39|골드캐슬Ⅲ,1
1114016500|서울특별시 중구 난계로17길 58-8|청계리버팰리스B,1
1114016500|서울특별시 중구 마장로14길 11|위너빌(Winnervill),1
1114016500|서울특별시 중구 마장로9길 49-15|그랜드힐 오피스텔,1
1114016500|서울특별시 중구 마장로9길 33|(73-1),1
1114016500|서울특별시 중구 난계로 173|한양I-Class,1
1114016500|서울특별시 중구 난계로 169|DUO302,1
1114016700|서울특별시 중구 정동길 13|정동,1
1114016800|서울특별시 중구 칠패로 27|순화동더샵,1
1114016800|서울특별시 중구 서소문로9길 28|덕수궁롯데캐슬,1
1114016800|서울특별시 중구 통일로 86|바비엥3,1
1114017100|서울특별시 중구 청파로 464|브라운스톤(355-0),1
1114017100|서울특별시 중구 중림로 10|삼성사이버빌리지,1
1114017100|서울특별시 중구 서소문로6길 34|성요셉,1
1114017100|서울특별시 중구 서소문로6길 21|리하우스(LEEHAUS),1
1114017100|서울특별시 중구 중림로 21|더플레이스충정로,1
1114017300|서울특별시 중구 만리재로37길 49|SY파크힐,1
